use cuda: True
Namespace(name='acm', k=None, lr=0.001, n_clusters=3, n_z=10, pretrain_path='data/acm.pkl', cuda=True, n_input=1870)
SDCN(
  (ae): AE(
    (enc_1): Linear(in_features=1870, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=500, bias=True)
    (enc_3): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (dec_3): Linear(in_features=500, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=1870, bias=True)
  )
  (gnn_1): GNNLayer()
  (gnn_2): GNNLayer()
  (gnn_3): GNNLayer()
  (gnn_4): GNNLayer()
  (gnn_5): GNNLayer()
)
pae :acc 0.8298 , nmi 0.5060 , ari 0.5596 , f1 0.8315
0Q :acc 0.8298 , nmi 0.5060 , ari 0.5596 , f1 0.8315
0Z :acc 0.5762 , nmi 0.1897 , ari 0.1988 , f1 0.5518
0P :acc 0.8291 , nmi 0.5031 , ari 0.5596 , f1 0.8303
1Q :acc 0.7825 , nmi 0.4843 , ari 0.4920 , f1 0.7713
1Z :acc 0.4225 , nmi 0.0632 , ari 0.0188 , f1 0.3382
1P :acc 0.7970 , nmi 0.4918 , ari 0.5133 , f1 0.7898
2Q :acc 0.8420 , nmi 0.5334 , ari 0.5908 , f1 0.8424
2Z :acc 0.4436 , nmi 0.0870 , ari 0.0504 , f1 0.3734
2P :acc 0.8450 , nmi 0.5402 , ari 0.5984 , f1 0.8449
3Q :acc 0.8301 , nmi 0.5180 , ari 0.5595 , f1 0.8324
3Z :acc 0.5435 , nmi 0.1375 , ari 0.1011 , f1 0.5061
3P :acc 0.8433 , nmi 0.5378 , ari 0.5917 , f1 0.8446
4Q :acc 0.8436 , nmi 0.5377 , ari 0.5917 , f1 0.8451
4Z :acc 0.5534 , nmi 0.1718 , ari 0.1257 , f1 0.4864
4P :acc 0.8469 , nmi 0.5437 , ari 0.6014 , f1 0.8477
5Q :acc 0.8536 , nmi 0.5620 , ari 0.6189 , f1 0.8532
5Z :acc 0.5345 , nmi 0.1604 , ari 0.1239 , f1 0.4451
